Sample	Contig	Covered Fraction
aligned	ivig_1876	0
aligned	ivig_1878	0.06956857
aligned	ivig_1879	0.6515407
aligned	ivig_1881	0
aligned	ivig_1886	0
aligned	ivig_1888	0
aligned	ivig_1889	0.19586338
aligned	ivig_1891	0
aligned	ivig_1892	0.10314501
aligned	ivig_1894	0.012964834
aligned	ivig_1895	0
aligned	ivig_1896	0
aligned	ivig_1897	0
aligned	ivig_1899	0
aligned	ivig_1901	0
aligned	ivig_1903	0
aligned	ivig_1904	0
aligned	ivig_1905	0.033606384
aligned	ivig_1906	0
aligned	ivig_1910	0
aligned	ivig_1911	0
aligned	ivig_1912	0
aligned	ivig_1914	0
aligned	ivig_1916	0
aligned	ivig_1925	0
aligned	ivig_1929	0.09349397
aligned	ivig_1930	0
aligned	ivig_1931	0.38864142
aligned	ivig_1932	0
aligned	ivig_1933	0
aligned	ivig_1938	0.010256976
aligned	ivig_1939	0.121260025
aligned	ivig_1940	0
aligned	ivig_1943	0
aligned	ivig_1945	0.11691119
aligned	ivig_1946	0.092542954
aligned	ivig_1947	0
aligned	ivig_1948	0
aligned	ivig_1950	0
aligned	ivig_1952	0
aligned	ivig_1953	0
aligned	ivig_1955	0
aligned	ivig_1957	0
aligned	ivig_1958	0
aligned	ivig_1960	0
aligned	ivig_1962	0
aligned	ivig_1963	0
aligned	ivig_1964	0
aligned	ivig_1965	0
aligned	ivig_1966	0
aligned	ivig_1967	0
aligned	ivig_1972	0
aligned	ivig_1973	0
aligned	ivig_1977	0
aligned	ivig_1979	0
aligned	ivig_1981	0
aligned	ivig_1987	0
aligned	ivig_1988	0
aligned	ivig_1989	0
aligned	ivig_1990	0
aligned	ivig_1991	0
aligned	ivig_1992	0
aligned	ivig_1995	0
aligned	ivig_1998	0
aligned	ivig_1999	0
aligned	ivig_2000	0
aligned	ivig_2001	0
aligned	ivig_2004	0
aligned	ivig_2006	0
aligned	ivig_2007	0
aligned	ivig_2008	0.038818635
aligned	ivig_2012	0.11552151
aligned	ivig_2016	0.010989487
aligned	ivig_2018	0
aligned	ivig_2021	0
aligned	ivig_2022	0
aligned	ivig_2024	0
aligned	ivig_2025	0
aligned	ivig_2027	0.38312006
aligned	ivig_2028	0.019643614
aligned	ivig_2030	0
aligned	ivig_2032	0.07744582
aligned	ivig_2039	0
aligned	ivig_2040	0
aligned	ivig_2044	0
aligned	ivig_2045	0
aligned	ivig_2048	0
aligned	ivig_2051	0
aligned	ivig_2052	0
aligned	ivig_2056	0.044126153
aligned	ivig_2057	0.11457359
aligned	ivig_2058	0.027641816
aligned	ivig_2060	0
aligned	ivig_2061	0
aligned	ivig_2065	0.1145707
aligned	ivig_2066	0
aligned	ivig_2068	0
aligned	ivig_2069	0
