Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M2_S26_contig_13552|provirus_9081_28675	9.115248	8.653734	19412	33.59117	11.584525	323.43716	9.586166	9.388149	19587	20.388031	13.992589	390.09766	7.0346103	6.7665277	19282	16.913483	10.290606	286.28558
M2_S26_contig_13759|provirus_3_12335	4.9271116	4.731509	12194	8.782571	6.1352677	171.29524	6.223344	5.9700866	12189	13.787494	8.980941	250.37874	5.775425	5.6033745	12203	8.612343	8.351942	232.35178
M2_S26_contig_16129|provirus_13207_57040	50.083736	50.006767	43834	94.11826	62.321083	1739.9896	53.290176	53.147957	43834	105.03583	77.56785	2162.5051	43.299538	43.115704	43834	74.06281	63.277405	1760.3826
M2_S26_contig_17582|provirus_2_16429	11.656284	11.5600605	16428	16.634998	14.788604	412.89417	11.1298685	11.052348	16428	15.263102	16.147	450.16028	9.714031	9.66769	16381	14.134162	14.2139015	395.432
M2_S26_contig_17635|provirus_168_20433	67.59943	64.83867	20266	546.5935	85.646736	2391.2358	67.53316	65.082405	20266	490.1039	99.859116	2783.961	61.29022	59.1774	20266	429.41516	90.5612	2519.4202
M2_S26_contig_17817|provirus_203917_232117	63.857082	63.300156	28201	1262.7839	85.130486	2376.8225	55.57007	54.867943	28201	1067.783	85.03346	2370.638	56.243664	55.81907	28201	1084.8317	86.12036	2395.8765
M2_S26_contig_19375|provirus_1_17155	17.284622	17.002678	17155	40.162815	22.342934	623.80927	15.082152	14.750082	17155	32.540947	22.287115	621.33997	15.757718	15.428488	17155	30.930002	23.27955	647.63916
M2_S26_contig_20475|provirus_107198_152019	100.21696	99.85438	44822	242.58476	126.3859	3528.6646	81.87314	81.67214	44822	167.02325	118.94056	3315.9294	89.9101	89.634384	44822	140.76756	131.04405	3645.657
M2_S26_contig_20809|provirus_6889_28155	5.5755553	5.382333	21076	9.127617	7.074176	197.50926	4.952408	4.577261	21071	12.279274	7.2034283	200.82344	5.3977365	5.1552587	20659	10.408337	7.9013033	219.8149
M2_S26_contig_25418|provirus_3_27696	14.760238	14.628882	27694	21.833525	18.728865	522.90546	14.396565	14.349818	27694	17.932886	20.924654	583.35596	14.990016	14.873578	27693	18.75541	21.796196	606.37213
